listing_id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_total_listings_count,host_identity_verified,neighborhood,district,city,latitude,longitude,property_type,room_type,accommodates,bedrooms,amenities,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
19908964,MySuiteInRome - Faboulus Suite in Trastevere,24059565,2014-11-23,Rome/ Lazio/ Italy,within an hour,1.0,0.98,28.0,t,I Centro Storico,,Rome,41.89059,12.46771,Entire apartment,Entire place,6,2.0,"['Washer', 'Dedicated workspace', 'Hangers', 'Iron', 'Refrigerator', 'Dishes and silverware', 'Private entrance', 'Cooking basics', 'Host greets you', 'Wifi', 'Hair dryer', 'Kitchen', 'Heating', 'TV', 'Patio or balcony', 'Air conditioning', 'Coffee maker', 'Hot water', 'Long term stays allowed', 'Free street parking', 'Shampoo', 'Essentials']",70,2,90,96.0,10.0,10.0,10.0,10.0,10.0,10.0,t
6779136,West Village on the Hudson River,35488245,2015-06-10,US,,,,1.0,t,West Village,Manhattan,New York,40.73212,-74.01051,Entire apartment,Entire place,2,,"['Smoke alarm', 'Washer', 'TV', 'Dryer', 'Wifi', 'Cable TV', 'Air conditioning', 'Long term stays allowed', 'Kitchen']",195,30,1125,80.0,10.0,10.0,10.0,10.0,10.0,10.0,f
27648119,The Greenwich Single #4,201706548,2018-07-12,AU,a few days or more,0.0,0.69,15.0,t,Lane Cove,,Sydney,-33.82806,151.18866,Room in hostel,Hotel room,1,1.0,"['Fire extinguisher', 'Washer', 'Iron', 'Indoor fireplace', 'Free parking on premises', 'Long term stays allowed', 'Building staff', 'Hot water', 'Dryer', 'Essentials', 'Luggage dropoff allowed', 'Dedicated workspace', 'Kitchen', 'Hangers', 'First aid kit', 'Pool', 'Shampoo', 'Wifi', 'Smoke alarm', 'Heating']",50,1,1125,90.0,10.0,10.0,9.0,10.0,10.0,10.0,f
2598426,Room -Porto Maravilha,7649446,2013-07-22,Rio/ Rio de Janeiro/ Brazil,,,,1.0,t,Gamboa,,Rio de Janeiro,-22.89814,-43.19538,Private room in apartment,Private room,3,1.0,"['Elevator', 'Kitchen', 'Washer', 'Bed linens', 'Hot water', 'Long term stays allowed', 'Essentials', 'Wifi', 'Iron', 'Hangers', 'Shampoo', 'Lock on bedroom door']",171,3,60,97.0,10.0,10.0,8.0,10.0,10.0,10.0,f
43652179,ÃÂ¡Habitacion accesible y muy bien ubicada!,329106128,2020-01-19,Mexico City/ Mexico City/ Mexico,a few days or more,0.25,0.77,1.0,t,Miguel Hidalgo,,Mexico City,19.39672,-99.18695,Private room in apartment,Private room,2,,"['Washer', 'TV', 'Free street parking', 'Essentials', 'Elevator', 'Hair dryer', 'Kitchen', 'Iron', 'Hangers', 'Wifi', 'Hot water', 'Free parking on premises', 'Long term stays allowed']",230,1,1125,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f
12675225,Appartement convivial ÃÂ  2 pas des Buttes Chaumont,68870514,2016-04-25,Paris/ Ile-de-France/ France,within a few hours,1.0,0.67,1.0,t,Buttes-Chaumont,,Paris,48.88661,2.38644,Entire apartment,Entire place,2,1.0,"['First aid kit', 'Heating', 'TV', 'Iron', 'Kitchen', 'Essentials', 'Hair dryer', 'Washer', 'Hangers', 'Smoke alarm', 'Wifi', 'Long term stays allowed', 'Dedicated workspace', 'Host greets you']",60,8,30,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f
34556115,Comfortable cocoon 5 min from the Champ de Mars,260392704,2019-05-07,Paris/ Ile-de-France/ France,,,1.0,4.0,t,Palais-Bourbon,,Paris,48.85678,2.3074,Room in hotel,Private room,1,1.0,"['Essentials', 'Air conditioning', 'Hot water', 'Hangers', 'Smoke alarm', 'Wifi', 'Luggage dropoff allowed', 'Long term stays allowed', 'Dedicated workspace', 'Building staff', 'Lock on bedroom door', 'TV', 'Iron', 'First aid kit', 'Ethernet connection', 'Heating', 'Hair dryer', 'Fire extinguisher', 'Cable TV', 'Shampoo', 'Extra pillows and blankets', 'Bed linens', 'Carbon monoxide alarm']",105,1,1125,95.0,10.0,10.0,10.0,10.0,10.0,10.0,t
5037892,Stay in Harlem 1 - 3 months!,6228539,2013-05-04,New York/ New York/ United States,,,1.0,2.0,t,Harlem,Manhattan,New York,40.80535,-73.95407,Private room in apartment,Private room,1,1.0,"['Refrigerator', 'Single level home', 'Microwave', 'Air conditioning', 'Baking sheet', 'Free street parking', 'Kitchen', 'Coffee maker', 'Oven', 'Iron', 'Hangers', 'Smoke alarm', 'Washer', 'Dedicated workspace', 'Dryer', 'Hot water', 'Long term stays allowed', 'Paid parking on premises', 'Extra pillows and blankets', 'Lockbox', 'Hair dryer', 'Bed linens', 'Essentials', 'Dishes and silverware', 'Gym', 'TV', 'Dishwasher', 'Wifi', 'Cable TV', 'Heating', 'Paid parking off premises', 'Cooking basics', 'Stove', 'Luggage dropoff allowed', 'Cleaning before checkout', 'Elevator', 'Carbon monoxide alarm']",85,30,120,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f
7119799,Chambre privee avec petit dejeÃÂ»ner,4458596,2012-12-21,Paris/ Ile-de-France/ France,within an hour,1.0,0.33,1.0,t,Enclos-St-Laurent,,Paris,48.87633,2.36465,Private room in apartment,Private room,2,1.0,"['First aid kit', 'Heating', 'TV', 'Kitchen', 'Essentials', 'Breakfast', 'Washer', 'Hot water', 'Smoke alarm', 'Microwave', 'Wifi', 'Dishes and silverware', 'Elevator', 'Long term stays allowed']",69,2,1125,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f
34283157,FIQUE EM CASA! Seu home-out-office com liberdade,60620837,2016-02-27,Petropolis/ Rio de Janeiro/ Brazil,a few days or more,0.0,,1.0,t,Ipanema,,Rio de Janeiro,-22.98536,-43.21076,Entire apartment,Entire place,3,1.0,"['Extra pillows and blankets', 'Air conditioning', 'Essentials', 'Luggage dropoff allowed', 'Hangers', 'Smoke alarm', 'Dedicated workspace', 'Private entrance', 'Washer', 'Bed linens', 'Hot water', 'Dishwasher', 'Ethernet connection', 'Patio or balcony', 'Long term stays allowed', 'Microwave', 'Refrigerator', 'Room-darkening shades', 'Building staff', 'Dryer', 'Iron', 'Wifi', 'Dishes and silverware', 'Garden or backyard', 'Cooking basics', 'Stove', 'Hair dryer', 'Free parking on premises', 'Cable TV', 'Elevator', 'Kitchen', 'TV', 'Oven', 'Shampoo']",371,1,1125,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f
29355156,Lovers Delight at Colosseum - Perfect for Couples,6766113,2013-06-06,Rome/ Lazio/ Italy,within an hour,0.97,1.0,21.0,t,I Centro Storico,,Rome,41.88891,12.4984,Entire apartment,Entire place,2,1.0,"['Body soap', 'Dedicated workspace', 'Microwave', 'Hangers', 'Iron', 'Luggage dropoff allowed', 'Refrigerator', 'Dishes and silverware', 'Private entrance', 'Cooking basics', 'Host greets you', 'Wifi', 'Stove', 'Shower gel', 'Hair dryer', 'Kitchen', 'Heating', 'Crib', 'High chair', 'Patio or balcony', 'Smoke alarm', 'Air conditioning', 'Paid street parking off premises', 'Coffee maker', 'Hot water', 'Long term stays allowed', 'Free street parking', 'Extra pillows and blankets', 'Shampoo', 'Bed linens', 'Single level home', 'Essentials', 'First aid kit', 'Paid parking on premises', 'Carbon monoxide alarm', 'Room-darkening shades']",60,2,30,99.0,10.0,10.0,10.0,10.0,10.0,10.0,t
2159929,Le jardin Molitor,11021378,2014-01-04,Paris/ Ile-de-France/ France,within a few hours,1.0,0.33,1.0,t,Passy,,Paris,48.84308,2.25975,Private room in apartment,Private room,2,1.0,"['Shampoo', 'Heating', 'Essentials', 'Wifi', 'Long term stays allowed']",60,2,1125,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f
7190109,Nice Cosy Flat - Canal Saint Martin,37658797,2015-07-06,Paris/ Ile-de-France/ France,,,,1.0,t,Enclos-St-Laurent,,Paris,48.87178,2.36416,Entire apartment,Entire place,4,1.0,"['Shampoo', 'Heating', 'TV', 'Kitchen', 'Essentials', 'Washer', 'Dryer', 'Smoke alarm', 'Wifi', 'Long term stays allowed']",110,1,1125,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f
21695415,"Beautiful, private 1 BR Apt in Hamilton Heights",42237462,2015-08-22,New York/ New York/ United States,,,,1.0,t,Harlem,Manhattan,New York,40.82757,-73.94741,Entire apartment,Entire place,3,1.0,"['Hair dryer', 'Smoke alarm', 'Essentials', 'TV', 'Dedicated workspace', 'Wifi', 'Shampoo', 'Heating', 'Host greets you', 'Luggage dropoff allowed', 'Free street parking', 'Hot water', 'Air conditioning', 'Long term stays allowed', 'Bathtub', 'Carbon monoxide alarm', 'Kitchen']",78,30,30,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f
43932978,TREMENDOUS! NEW DARLING HARBOUR APT + GREAT VIEWS,95962092,2016-09-20,New South Wales/ Australia,within an hour,1.0,1.0,12.0,t,Sydney,,Sydney,-33.88021,151.20339,Entire apartment,Entire place,4,1.0,"['Washer', 'Iron', 'Long term stays allowed', 'Smoke alarm', 'Air conditioning', 'Dryer', 'Essentials', 'Dedicated workspace', 'Kitchen', 'Pool', 'Hangers', 'First aid kit', 'Hair dryer', 'Shampoo', 'Wifi', 'TV', 'Heating']",130,1,1125,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t
11948237,Na Praia! Apartamento amplo e moderno! Vista Mar!,29593595,2015-03-18,Rio de Janeiro/ State of Rio de Janeiro/ Brazil,,,,1.0,t,Copacabana,,Rio de Janeiro,-22.97267,-43.1864,Entire apartment,Entire place,6,1.0,"['Air conditioning', 'Essentials', 'Luggage dropoff allowed', 'Hangers', 'Coffee maker', 'Hot water', 'Patio or balcony', 'Long term stays allowed', 'Microwave', 'Refrigerator', 'Room-darkening shades', 'Wifi', 'Iron', 'Dishes and silverware', 'Stove', 'Host greets you', 'Cable TV', 'Elevator', 'Kitchen', 'Pool', 'TV', 'Oven', 'Beachfront']",379,7,30,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f
15671751,"Cozy, Colorful Private Room on the Upper East Side",30653537,2015-04-05,New York/ New York/ United States,,,,1.0,t,East Harlem,Manhattan,New York,40.78785,-73.94757,Private room in apartment,Private room,2,1.0,"['Breakfast', 'Smoke alarm', 'Essentials', 'Hangers', 'Wifi', 'Shampoo', 'Heating', 'Long term stays allowed', 'Carbon monoxide alarm', 'Kitchen']",63,30,1125,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f
23130928,"Family Home in Seaforth, near Manly",171899013,2018-02-05,Seaforth/ New South Wales/ Australia,,,,1.0,t,Manly,,Sydney,-33.78646,151.23998,Entire house,Entire place,5,2.0,"['Washer', 'Iron', 'Free parking on premises', 'Smoke alarm', 'Hot tub', 'Air conditioning', 'Essentials', 'Kitchen', 'Hangers', 'Keypad', 'Wifi', 'Hair dryer', 'TV', 'Heating']",130,3,14,100.0,10.0,10.0,10.0,10.0,9.0,10.0,f
37821901,"Charming and comfy, located in the center of Paris",286278315,2019-08-16,Paris/ Ile-de-France/ France,,,,0.0,t,Popincourt,,Paris,48.85792,2.38421,Entire apartment,Entire place,4,1.0,"['Patio or balcony', 'Dishes and silverware', 'Stove', 'Coffee maker', 'Breakfast', 'Iron', 'Dryer', 'Dedicated workspace', 'Smoke alarm', 'Essentials', 'Bed linens', 'Dishwasher', 'TV', 'Shampoo', 'Heating', 'Washer', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Free street parking', 'Hot water', 'Oven', 'Hair dryer', 'Wifi', 'Long term stays allowed', 'Microwave']",85,1,30,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f
26057345,#11 - Sweet Queen Room in Tsim Sha Tsui,9280086,2013-10-07,Hong Kong,within a day,0.7,1.0,32.0,t,Yau Tsim Mong,,Hong Kong,22.29865,114.17096,Private room in apartment,Private room,2,1.0,"['Shampoo', 'Hair dryer', 'Fire extinguisher', 'Lock on bedroom door', 'Long term stays allowed', 'Dedicated workspace', 'Hot water', 'TV', 'Air conditioning', 'First aid kit', 'Hangers', 'Smoke alarm', 'Wifi', 'Essentials', 'Elevator', 'Luggage dropoff allowed']",307,1,365,97.0,10.0,10.0,10.0,10.0,10.0,10.0,t
6164944,LuxuryDesign Double Room Trastevere,5485209,2013-03-16,Rome/ Lazio/ Italy,,,,3.0,t,I Centro Storico,,Rome,41.88867,12.46993,Private room in apartment,Private room,2,1.0,"['Shampoo', 'Washer', 'TV', 'Wifi', 'Essentials', 'Smoke alarm', 'Air conditioning', 'Breakfast', 'Long term stays allowed', 'Kitchen', 'Heating']",200,1,1125,90.0,10.0,10.0,10.0,10.0,10.0,10.0,f
38687406,House in OrtakÃÂ¶y with Bosphorus view,100899628,2016-10-23,Istanbul/ Istanbul/ Turkey,a few days or more,0.29,,1.0,t,Besiktas,,Istanbul,41.0537,29.02856,Private room in serviced apartment,Private room,2,1.0,"['Washer', 'Iron', 'Hangers', 'Wifi', 'Free street parking', 'Breakfast', 'Essentials', 'Heating', 'Hair dryer', 'Dishes and silverware', 'Kitchen', 'Cooking basics', 'Lock on bedroom door', 'Hot water', 'Long term stays allowed', 'Dedicated workspace', 'First aid kit', 'Shampoo']",82,3,1125,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f
32568968,Double room near Colosseum,28162797,2015-02-22,Rome/ Lazio/ Italy,within an hour,1.0,0.99,3.0,t,I Centro Storico,,Rome,41.89536,12.49901,Room in boutique hotel,Hotel room,2,1.0,"['Body soap', 'Dedicated workspace', 'Microwave', 'Fire extinguisher', 'Hangers', 'Iron', 'Luggage dropoff allowed', 'Refrigerator', 'Dishes and silverware', 'Wifi', 'Shower gel', 'Hair dryer', 'Smart lock', 'Heating', 'Crib', 'TV', 'Smoke alarm', 'Air conditioning', 'Hot water', 'Long term stays allowed', 'Nespresso machine', 'Extra pillows and blankets', 'Cable TV', 'Elevator', 'Shampoo', 'Bed linens', 'Essentials', 'First aid kit', 'Carbon monoxide alarm']",34,1,1125,93.0,10.0,10.0,10.0,10.0,10.0,10.0,t
14613469,Stanza Carina a Roma,90666734,2016-08-18,Rimini/ Emilia-Romagna/ Italy,,,,1.0,t,XI Arvalia/Portuense,,Rome,41.84295,12.43726,Private room in apartment,Private room,1,1.0,"['Elevator', 'Lock on bedroom door', 'Wifi', 'Hair dryer', 'Long term stays allowed', 'Kitchen']",70,1,1125,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f
25082268,Cantinho da alegria,141731811,2017-07-21,Candeias/ Pernambuco/ Brazil,a few days or more,0.33,0.5,1.0,t,Campo Grande,,Rio de Janeiro,-22.94247,-43.57327,Entire house,Entire place,4,2.0,"['Extra pillows and blankets', 'BBQ grill', 'Air conditioning', 'Essentials', 'Luggage dropoff allowed', 'Clothing storage', 'Hangers', 'Dedicated workspace', 'Washer', 'High chair', 'Bed linens', 'Hot water', 'Body soap', 'Patio or balcony', 'Long term stays allowed', 'Microwave', 'Refrigerator', 'Dryer', 'Iron', 'Dishes and silverware', 'Garden or backyard', 'Stove', 'Host greets you', 'Free parking on premises', 'Kitchen', 'Ceiling fan', 'Pool', 'Drying rack for clothing', 'TV', 'Oven', 'Shampoo', 'First aid kit']",150,1,1125,100.0,10.0,10.0,10.0,10.0,9.0,10.0,f
8657652,1 bed apartment in North Randwick,19141799,2014-07-30,Sydney/ New South Wales/ Australia,within an hour,1.0,0.94,1.0,t,Randwick,,Sydney,-33.90478,151.23975,Entire apartment,Entire place,2,1.0,"['Patio or balcony', 'Lockbox', 'Bed linens', 'Shampoo', 'Hair dryer', 'TV', 'Heating', 'Washer', 'Iron', 'Luggage dropoff allowed', 'Essentials', 'Cooking basics', 'Cable TV', 'Private entrance', 'Extra pillows and blankets', 'Kitchen', 'Refrigerator', 'Dishwasher', 'Carbon monoxide alarm', 'Oven', 'Stove', 'Long term stays allowed', 'Microwave', 'Hot water', 'Dryer', 'Free street parking', 'Dedicated workspace', 'Dishes and silverware', 'Hangers', 'Wifi', 'Smoke alarm']",157,2,28,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t
39442097,Cosy apartment in downtown,269716608,2019-06-19,Istanbul/ Istanbul/ Turkey,within an hour,0.9,0.93,3.0,t,Kadikoy,,Istanbul,40.99387,29.02755,Entire apartment,Entire place,4,2.0,"['Paid parking off premises', 'Carbon monoxide alarm', 'Smoke alarm', 'Free street parking', 'Washer', 'Long term stays allowed', 'Dishwasher', 'Bed linens', 'Hot water', 'Kitchen', 'Microwave', 'Refrigerator', 'Dedicated workspace', 'Patio or balcony', 'Iron', 'Stove', 'Wifi', 'Luggage dropoff allowed', 'Dishes and silverware', 'TV', 'Heating', 'Hair dryer', 'Oven', 'Cooking basics', 'Essentials', 'Shampoo']",259,8,1125,98.0,10.0,10.0,10.0,10.0,10.0,10.0,t
19608560,un tetto al Pantheon,14580902,2014-04-22,Rome/ Lazio/ Italy,within a few hours,1.0,1.0,3.0,t,I Centro Storico,,Rome,41.89975,12.47922,Entire loft,Entire place,2,1.0,"['Pack \u2019n Play/travel crib', 'Dedicated workspace', 'Microwave', 'Fire extinguisher', 'Hangers', 'Iron', 'Refrigerator', 'Dishes and silverware', 'Private entrance', 'Cooking basics', 'Host greets you', 'Wifi', 'Stove', 'Hair dryer', 'Kitchen', 'Heating', 'High chair', 'Indoor fireplace', 'TV', 'Patio or balcony', 'Smoke alarm', 'Air conditioning', 'Coffee maker', 'Hot water', 'Long term stays allowed', 'Extra pillows and blankets', 'Cable TV', 'Shampoo', 'Bed linens', 'Essentials', 'First aid kit', 'Carbon monoxide alarm']",70,2,1125,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f
10750575,Serene garden studio apartment,21796379,2014-09-26,Manly Vale/ New South Wales/ Australia,,,,1.0,t,Warringah,,Sydney,-33.78308,151.25935,Entire cabin,Entire place,2,,"['Patio or balcony', 'Shampoo', 'Hair dryer', 'TV', 'Heating', 'Fire extinguisher', 'Washer', 'Iron', 'Free parking on premises', 'Smoke alarm', 'Essentials', 'Cooking basics', 'Lake access', 'First aid kit', 'Kitchen', 'Dishwasher', 'Carbon monoxide alarm', 'Stove', 'Long term stays allowed', 'Microwave', 'Hot water', 'Free street parking', 'Dedicated workspace', 'Dishes and silverware', 'Hangers', 'Refrigerator']",122,2,42,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f
9599539,"Charmant appart , magnifique vue!",30867227,2015-04-08,Paris/ Ile-de-France/ France,,,,1.0,t,Buttes-Chaumont,,Paris,48.8759,2.37668,Entire apartment,Entire place,4,1.0,"['Heating', 'TV', 'Indoor fireplace', 'Kitchen', 'Hair dryer', 'Washer', 'Smoke alarm', 'Wifi', 'Elevator', 'Long term stays allowed', 'Dedicated workspace', 'Cable TV']",52,2,1125,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f
41619957,HABITACION PRIVADA PARA MUJERES EN CASA DE FAMILIA,215778245,2018-09-16,New York/ New York/ United States,within an hour,0.94,0.92,8.0,t,Elmhurst,Queens,New York,40.73848,-73.87143,Private room in house,Private room,1,1.0,"['Single level home', 'Refrigerator', 'Microwave', 'Smart lock', 'Shampoo', 'Air conditioning', 'Free street parking', 'Kitchen', 'Coffee maker', 'Oven', 'Iron', 'Hangers', 'Smoke alarm', 'Dedicated workspace', 'Fire extinguisher', 'Shower gel', 'Hot water', 'Long term stays allowed', 'Extra pillows and blankets', 'Hair dryer', 'Bed linens', 'Room-darkening shades', 'Barbecue utensils', 'Essentials', 'Dishes and silverware', 'TV', 'Wifi', 'Lock on bedroom door', 'Heating', 'Cable TV', 'Pocket wifi', 'Patio or balcony', 'Cooking basics', 'First aid kit', 'Stove', 'Luggage dropoff allowed', 'Cleaning before checkout', 'Window guards', 'Beach essentials', 'Garden or backyard', 'Carbon monoxide alarm']",40,1,30,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t
43443345,Copa Prime Studio,6422051,2013-05-16,Rio de Janeiro/ State of Rio de Janeiro/ Brazil,within an hour,1.0,1.0,15.0,t,Copacabana,,Rio de Janeiro,-22.98323,-43.19098,Entire apartment,Entire place,3,,"['Kitchen', 'Air conditioning', 'Long term stays allowed', 'Wifi', 'Iron', 'TV', 'Hair dryer']",178,1,30,100.0,10.0,10.0,9.0,10.0,10.0,10.0,t
22170090,Sunshine studio Bastille,84912897,2016-07-20,Rennes/ Brittany/ France,,,,1.0,t,Popincourt,,Paris,48.8556,2.37755,Entire apartment,Entire place,2,,"['Patio or balcony', 'Elevator', 'High chair', 'Dishes and silverware', 'Hangers', 'Iron', 'Dryer', 'Dedicated workspace', 'Smoke alarm', 'Essentials', 'Dishwasher', 'TV', 'Heating', 'Washer', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Hot water', 'Hair dryer', 'Wifi', 'Long term stays allowed', 'Host greets you', 'Microwave']",54,7,60,97.0,10.0,10.0,10.0,10.0,9.0,10.0,f
6723087,"A bit of Home near the Sydney CBD, airport,Uni",22283266,2014-10-08,Sydney/ New South Wales/ Australia,,,0.0,4.0,t,Marrickville,,Sydney,-33.91599,151.16763,Private room in house,Private room,2,1.0,"['Garden or backyard', 'Bed linens', 'Coffee maker', 'Shampoo', 'Hair dryer', 'TV', 'Heating', 'Washer', 'Iron', 'Luggage dropoff allowed', 'Essentials', 'Single level home', 'Cooking basics', 'First aid kit', 'Extra pillows and blankets', 'Lock on bedroom door', 'Refrigerator', 'Oven', 'Dishwasher', 'Stove', 'Microwave', 'Hot water', 'Air conditioning', 'Dryer', 'Free street parking', 'Dishes and silverware', 'Hangers', 'Wifi', 'Smoke alarm']",55,2,14,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f
